# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT v_vE
61800000 -362.144 849.614 276.458 487.471
61900000 -362.478 849.93 276.561 487.452
62000000 -360.972 848.369 276.052 487.397
62100000 -375.48 862.756 280.734 487.276
62200000 -356.873 844.13 274.673 487.256
62300000 -357.243 844.463 274.781 487.22
62400000 -345.672 832.974 271.043 487.301
62500000 -354.381 841.905 273.949 487.524
62600000 -370.711 858.385 279.312 487.674
62700000 -350.794 838.357 272.795 487.563
62800000 -341.378 828.876 269.71 487.498
62900000 -353.032 840.387 273.455 487.355
63000000 -354.23 841.813 273.919 487.582
63100000 -346.882 834.851 271.654 487.968
63200000 -358.36 846.214 275.351 487.854
63300000 -351.991 839.726 273.24 487.735
63400000 -363.486 851.26 276.993 487.774
63500000 -361.036 848.871 276.216 487.835
63600000 -350.014 838.076 272.703 488.062
63700000 -336.945 824.955 268.434 488.01
63800000 -354.976 842.968 274.295 487.991
63900000 -354.233 842.169 274.035 487.936
64000000 -344.296 832.177 270.784 487.881
64100000 -353.249 841.173 273.711 487.924
64200000 -343.282 831.19 270.463 487.909
64300000 -358.2 846.268 275.369 488.067
64400000 -348.368 836.394 272.156 488.026
64500000 -350.337 838.367 272.798 488.03
64600000 -365.101 853.153 277.609 488.053
64700000 -334.813 822.727 267.709 487.914
64800000 -349.463 837.309 272.454 487.846
64900000 -361.959 849.795 276.517 487.836
65000000 -356.757 844.617 274.832 487.861
65100000 -374.363 862.197 280.552 487.834
65200000 -366.94 854.537 278.06 487.597
65300000 -350.972 838.456 272.827 487.484
65400000 -345.394 832.75 270.97 487.356
65500000 -347.933 835.386 271.828 487.453
65600000 -355.276 842.873 274.264 487.598
65700000 -355.698 843.286 274.399 487.588
65800000 -357.246 844.972 274.947 487.726
65900000 -352.94 840.716 273.562 487.775
66000000 -358.694 846.447 275.427 487.754
